Zeitangaben 2
lento,langsam,
adesso,jetzt,
veloce,schnell,
immediatamente,sofort,oft wird auch 'subito' benutzt
pronto,bereit,'Ich bin bereit'
quando?,wann?,'Quando sono vacanza?' 'Wann sind Ferien?'
prima,bevor,'bevor es regnet'; bedeutet auch 'vorher'
raramente,selten,
capodanno,Neujahr,il capodanno
dopo,danach,
paqua,Ostern,la pasqua
ieri,gestern,
durata,Dauer,la durata
da tanto tempo,seit langer Zeit,
decennio,Jahrzehnt,il decennio
tardi,spät,
presente,Gegenwart,il presente
spesso,oft,
sempre,immer,
attuale,gegenwärtig,zeitlich gesehen 'aktuell'
passato,Vergangenheit,il passato
mai,nie,
continuo,ununterbrochen,
di solito,gewöhnlich,
permanente,dauerhaft,
ancora,immer noch,ancora  wird vielseitig genutzt
a volte,manchmal,auch 'qualche volta'
presto,früh,
bassa stagione,Nachsaison,
secolo,Jahrhundert,il secolo
natale,Weihnachten,
periodo,Zeitraum,il periodo
ogni tanto,ab und zu,
momento,Moment,il momento
Che ore sono?,Wie spät ist es?,
frequenta,häufig,
giorno lavorativo,Werktag,
futuro,Zukunft,il futuro
ferragosto,15. August,traditioneller italienischer Feiertag
alta stagione,Hauptsaison,
finalmente,endlich,also 'endlich zuhause', nicht 'endliche Zahl'
